SRR5689224	SRR5689225	SRR5689226	SRR5689227	SRR5689228	SRR5689229	SRR5689230	SRR5689231	SRR5689232	SRR5689233	SRR5689234	SRR5689235
5%	39	37	41	59	53	14	15	12	7	10	16	34
6%	45	43	45	64	60	16	18	14	8	11	18	38
7%	51	49	48	69	67	18	21	17	9	12	20	42
8%	57	55	52	74	74	20	24	19	10	14	22	47
9%	64	61	55	79	80	22	26	21	11	15	24	51
10%	70	68	58	83	86	23	29	23	12	17	27	55
11%	76	74	61	87	93	25	32	26	13	18	29	59
12%	82	80	64	91	99	27	35	28	15	20	31	64
13%	89	86	67	95	105	29	38	30	16	21	33	68
14%	96	93	70	99	112	31	41	33	17	22	35	72
15%	102	99	73	103	118	33	45	35	18	24	37	76
16%	109	105	76	107	124	35	48	38	19	25	39	80
17%	116	112	79	111	131	36	51	40	20	27	41	84
18%	123	119	81	115	137	38	54	43	22	28	44	88
19%	130	126	84	119	144	40	58	46	23	30	46	93
20%	137	133	87	123	150	42	61	49	24	31	48	97
