"","Var1","Freq"
"1","0",132
"2","1",599
"3","2",578
"4","3",461
"5","4",359
"6","5",235
"7","6",235
"8","7",211
"9","8",195
"10","9",193
"11","10",177
"12","11",160
"13","12",154
"14","13",144
"15","14",123
"16","15",116
"17","16",114
"18","17",114
"19","18",97
"20","19",97
"21","20",93
"22","21",90
"23","22",69
"24","23",69
"25","24",64
"26","25",62
"27","26",62
"28","27",62
"29","28",62
"30","29",60
"31","30",60
"32","31",59
"33","32",59
"34","33",55
"35","34",52
"36","35",51
"37","36",48
"38","37",46
"39","38",46
"40","39",44
"41","40",44
"42","41",44
"43","42",42
"44","43",42
"45","44",41
"46","45",40
"47","46",39
"48","47",39
"49","48",37
"50","49",36
"51","50",35
"52","51",34
"53","52",33
"54","53",32
"55","54",31
"56","55",30
"57","56",28
"58","57",28
"59","58",27
"60","59",27
"61","60",23
"62","61",22
"63","62",22
