Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[strain]	Characteristics[genotype]	Characteristics[growth condition]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Factor Value[genotype]	Factor Value[growth condition]
5strich_Mtub	ERS1884646	SAMEA104225628	Mycobacterium tuberculosis	H37Rv	pool of mixed wildtype and del_ysG (1985c)	pool of samples supplemented with ammonium, lysine and histidine	whole organism	P-MTAB-67527	P-MTAB-67528	P-MTAB-67529	P-MTAB-67531	5strich_Mtub	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-3'-5'	P-MTAB-67530	Anika Winkler	5strich_Mtub	sequencing assay	ERX2161003	5prime_TSS_Mtub_TGACCA_L001_R1_001.fastq.gz	5prime_TSS_Mtub_TGACCA_L001_R1_001.fastq.gz	ERR2103717	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR210/007/ERR2103717/ERR2103717_1.fastq.gz	150	76	pool of mixed wildtype and del_ysG (1985c)	pool of samples supplemented with ammonium, lysine and histidine
5strich_Mtub	ERS1884646	SAMEA104225628	Mycobacterium tuberculosis	H37Rv	pool of mixed wildtype and del_ysG (1985c)	pool of samples supplemented with ammonium, lysine and histidine	whole organism	P-MTAB-67527	P-MTAB-67528	P-MTAB-67529	P-MTAB-67531	5strich_Mtub	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-3'-5'	P-MTAB-67530	Anika Winkler	5strich_Mtub	sequencing assay	ERX2161003	5strich_Mtub_TGACCA_L001_R2_001.fastq.gz	5strich_Mtub_TGACCA_L001_R2_001.fastq.gz	ERR2103717	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR210/007/ERR2103717/ERR2103717_2.fastq.gz	150	76	pool of mixed wildtype and del_ysG (1985c)	pool of samples supplemented with ammonium, lysine and histidine
H4_Wt_Mtb_NH3	ERS1884647	SAMEA104225629	Mycobacterium tuberculosis	H37Rv	wild type genotype	10 millimolar ammonium as sole nitrogen source	whole organism	P-MTAB-67527	P-MTAB-67528	P-MTAB-67529	P-MTAB-67531	H4_Wt_Mtb_NH3	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-3'-5'	P-MTAB-67530	Anika Winkler	H4_Wt_Mtb_NH3	sequencing assay	ERX2161004	H4_Wt_Mtb_NH3_ATCACG_L001_R1_001.fastq.gz	H4_Wt_Mtb_NH3_ATCACG_L001_R1_001.fastq.gz	ERR2103718	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR210/008/ERR2103718/ERR2103718_1.fastq.gz	150	76	wild type genotype	10 millimolar ammonium as sole nitrogen source
H4_Wt_Mtb_NH3	ERS1884647	SAMEA104225629	Mycobacterium tuberculosis	H37Rv	wild type genotype	10 millimolar ammonium as sole nitrogen source	whole organism	P-MTAB-67527	P-MTAB-67528	P-MTAB-67529	P-MTAB-67531	H4_Wt_Mtb_NH3	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-3'-5'	P-MTAB-67530	Anika Winkler	H4_Wt_Mtb_NH3	sequencing assay	ERX2161004	H4_Wt_Mtb_NH3_ATCACG_L001_R2_001.fastq.gz	H4_Wt_Mtb_NH3_ATCACG_L001_R2_001.fastq.gz	ERR2103718	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR210/008/ERR2103718/ERR2103718_2.fastq.gz	150	76	wild type genotype	10 millimolar ammonium as sole nitrogen source
H5_Del_Rv1985c_NH3	ERS1884648	SAMEA104225630	Mycobacterium tuberculosis	H37Rv	del_ysG (1985c)	10 millimolar ammonium as sole nitrogen source	whole organism	P-MTAB-67527	P-MTAB-67528	P-MTAB-67529	P-MTAB-67531	H5_Del_Rv1985c_NH3	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-3'-5'	P-MTAB-67530	Anika Winkler	H5_Del_Rv1985c_NH3	sequencing assay	ERX2161005	H5_Del_Rv1985c_NH3_TAGCTT_L001_R1_001.fastq.gz	H5_Del_Rv1985c_NH3_TAGCTT_L001_R1_001.fastq.gz	ERR2103719	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR210/009/ERR2103719/ERR2103719_1.fastq.gz	150	76	del_ysG (1985c)	10 millimolar ammonium as sole nitrogen source
H5_Del_Rv1985c_NH3	ERS1884648	SAMEA104225630	Mycobacterium tuberculosis	H37Rv	del_ysG (1985c)	10 millimolar ammonium as sole nitrogen source	whole organism	P-MTAB-67527	P-MTAB-67528	P-MTAB-67529	P-MTAB-67531	H5_Del_Rv1985c_NH3	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-3'-5'	P-MTAB-67530	Anika Winkler	H5_Del_Rv1985c_NH3	sequencing assay	ERX2161005	H5_Del_Rv1985c_NH3_TAGCTT_L001_R2_001.fastq.gz	H5_Del_Rv1985c_NH3_TAGCTT_L001_R2_001.fastq.gz	ERR2103719	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR210/009/ERR2103719/ERR2103719_2.fastq.gz	150	76	del_ysG (1985c)	10 millimolar ammonium as sole nitrogen source
H6_Del_Rv1985c_Lysin	ERS1884649	SAMEA104225631	Mycobacterium tuberculosis	H37Rv	del_ysG (1985c)	5 millimolar lysine as sole nitrogen source	whole organism	P-MTAB-67527	P-MTAB-67528	P-MTAB-67529	P-MTAB-67531	H6_Del_Rv1985c_Lysin	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-3'-5'	P-MTAB-67530	Anika Winkler	H6_Del_Rv1985c_Lysin	sequencing assay	ERX2161006	H6_Del_Rv1985c_Lysin_GTGGCC_L001_R1_001.fastq.gz	H6_Del_Rv1985c_Lysin_GTGGCC_L001_R1_001.fastq.gz	ERR2103720	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR210/000/ERR2103720/ERR2103720_1.fastq.gz	150	76	del_ysG (1985c)	5 millimolar lysine as sole nitrogen source
H6_Del_Rv1985c_Lysin	ERS1884649	SAMEA104225631	Mycobacterium tuberculosis	H37Rv	del_ysG (1985c)	5 millimolar lysine as sole nitrogen source	whole organism	P-MTAB-67527	P-MTAB-67528	P-MTAB-67529	P-MTAB-67531	H6_Del_Rv1985c_Lysin	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-3'-5'	P-MTAB-67530	Anika Winkler	H6_Del_Rv1985c_Lysin	sequencing assay	ERX2161006	H6_Del_Rv1985c_Lysin_GTGGCC_L001_R2_001.fastq.gz	H6_Del_Rv1985c_Lysin_GTGGCC_L001_R2_001.fastq.gz	ERR2103720	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR210/000/ERR2103720/ERR2103720_2.fastq.gz	150	76	del_ysG (1985c)	5 millimolar lysine as sole nitrogen source
H7_Del_Rv1985c_Histidin	ERS1884650	SAMEA104225632	Mycobacterium tuberculosis	H37Rv	del_ysG (1985c)	3.34 millimolar histidine as sole nitrogen source	whole organism	P-MTAB-67527	P-MTAB-67528	P-MTAB-67529	P-MTAB-67531	H7_Del_Rv1985c_Histidin	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-3'-5'	P-MTAB-67530	Anika Winkler	H7_Del_Rv1985c_Histidin	sequencing assay	ERX2161007	H7_Del_Rv1985c_Histidin_TTAGGC_L001_R1_001.fastq.gz	H7_Del_Rv1985c_Histidin_TTAGGC_L001_R1_001.fastq.gz	ERR2103721	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR210/001/ERR2103721/ERR2103721_1.fastq.gz	150	76	del_ysG (1985c)	3.34 millimolar histidine as sole nitrogen source
H7_Del_Rv1985c_Histidin	ERS1884650	SAMEA104225632	Mycobacterium tuberculosis	H37Rv	del_ysG (1985c)	3.34 millimolar histidine as sole nitrogen source	whole organism	P-MTAB-67527	P-MTAB-67528	P-MTAB-67529	P-MTAB-67531	H7_Del_Rv1985c_Histidin	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-3'-5'	P-MTAB-67530	Anika Winkler	H7_Del_Rv1985c_Histidin	sequencing assay	ERX2161007	H7_Del_Rv1985c_Histidin_TTAGGC_L001_R2_001.fastq.gz	H7_Del_Rv1985c_Histidin_TTAGGC_L001_R2_001.fastq.gz	ERR2103721	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR210/001/ERR2103721/ERR2103721_2.fastq.gz	150	76	del_ysG (1985c)	3.34 millimolar histidine as sole nitrogen source
H8_Wt_Mtb_Histidin	ERS1884651	SAMEA104225633	Mycobacterium tuberculosis	H37Rv	wild type genotype	3.34 millimolar histidine as sole nitrogen source	whole organism	P-MTAB-67527	P-MTAB-67528	P-MTAB-67529	P-MTAB-67531	H8_Wt_Mtb_Histidin	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-3'-5'	P-MTAB-67530	Anika Winkler	H8_Wt_Mtb_Histidin	sequencing assay	ERX2161008	H8_Wt_Mtb_Histidin_GATCAG_L001_R1_001.fastq.gz	H8_Wt_Mtb_Histidin_GATCAG_L001_R1_001.fastq.gz	ERR2103722	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR210/002/ERR2103722/ERR2103722_1.fastq.gz	150	76	wild type genotype	3.34 millimolar histidine as sole nitrogen source
H8_Wt_Mtb_Histidin	ERS1884651	SAMEA104225633	Mycobacterium tuberculosis	H37Rv	wild type genotype	3.34 millimolar histidine as sole nitrogen source	whole organism	P-MTAB-67527	P-MTAB-67528	P-MTAB-67529	P-MTAB-67531	H8_Wt_Mtb_Histidin	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-3'-5'	P-MTAB-67530	Anika Winkler	H8_Wt_Mtb_Histidin	sequencing assay	ERX2161008	H8_Wt_Mtb_Histidin_GATCAG_L001_R2_001.fastq.gz	H8_Wt_Mtb_Histidin_GATCAG_L001_R2_001.fastq.gz	ERR2103722	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR210/002/ERR2103722/ERR2103722_2.fastq.gz	150	76	wild type genotype	3.34 millimolar histidine as sole nitrogen source
H9_Wt_Mtb_Lysin	ERS1884652	SAMEA104225634	Mycobacterium tuberculosis	H37Rv	wild type genotype	5 millimolar lysine as sole nitrogen source	whole organism	P-MTAB-67527	P-MTAB-67528	P-MTAB-67529	P-MTAB-67531	H9_Wt_Mtb_Lysin	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-3'-5'	P-MTAB-67530	Anika Winkler	H9_Wt_Mtb_Lysin	sequencing assay	ERX2161009	H9_Wt_Mtb_Lysin_ACTGAT_L001_R1_001.fastq.gz	H9_Wt_Mtb_Lysin_ACTGAT_L001_R1_001.fastq.gz	ERR2103723	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR210/003/ERR2103723/ERR2103723_1.fastq.gz	150	76	wild type genotype	5 millimolar lysine as sole nitrogen source
H9_Wt_Mtb_Lysin	ERS1884652	SAMEA104225634	Mycobacterium tuberculosis	H37Rv	wild type genotype	5 millimolar lysine as sole nitrogen source	whole organism	P-MTAB-67527	P-MTAB-67528	P-MTAB-67529	P-MTAB-67531	H9_Wt_Mtb_Lysin	PAIRED	RANDOM	TRANSCRIPTOMIC	first strand	ssRNA-seq	500	100	5'-3'-3'-5'	P-MTAB-67530	Anika Winkler	H9_Wt_Mtb_Lysin	sequencing assay	ERX2161009	H9_Wt_Mtb_Lysin_ACTGAT_L001_R2_001.fastq.gz	H9_Wt_Mtb_Lysin_ACTGAT_L001_R2_001.fastq.gz	ERR2103723	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR210/003/ERR2103723/ERR2103723_2.fastq.gz	150	76	wild type genotype	5 millimolar lysine as sole nitrogen source
