"Status"	"SRR5689224_sorted"	"SRR5689225_sorted"	"SRR5689226_sorted"	"SRR5689227_sorted"	"SRR5689228_sorted"	"SRR5689229_sorted"	"SRR5689230_sorted"	"SRR5689231_sorted"	"SRR5689232_sorted"	"SRR5689233_sorted"	"SRR5689234_sorted"	"SRR5689235_sorted"
"1"	"Assigned"	14095676	13931664	6617972	9081854	16155425	5799498	15465285	12625764	4956240	4934633	10606188	13364771
"2"	"Unassigned_Unmapped"	23508	23420	36530	51410	58313	30595	30681	25029	25541	33485	81503	46175
"3"	"Unassigned_Read_Type"	0	0	0	0	0	0	0	0	0	0	0	0
"4"	"Unassigned_Singleton"	0	0	0	0	0	0	0	0	0	0	0	0
"5"	"Unassigned_MappingQuality"	0	0	0	0	0	0	0	0	0	0	0	0
"6"	"Unassigned_Chimera"	0	0	0	0	0	0	0	0	0	0	0	0
"7"	"Unassigned_FragmentLength"	0	0	0	0	0	0	0	0	0	0	0	0
"8"	"Unassigned_Duplicate"	0	0	0	0	0	0	0	0	0	0	0	0
"9"	"Unassigned_MultiMapping"	0	0	0	0	0	0	0	0	0	0	0	0
"10"	"Unassigned_Secondary"	0	0	0	0	0	0	0	0	0	0	0	0
"11"	"Unassigned_NonSplit"	0	0	0	0	0	0	0	0	0	0	0	0
"12"	"Unassigned_NoFeatures"	7396333	6802531	14707912	17791297	9838560	7521346	9175333	10177507	20169845	17338853	16519458	14372248
"13"	"Unassigned_Overlapping_Length"	0	0	0	0	0	0	0	0	0	0	0	0
"14"	"Unassigned_Ambiguity"	799394	814591	356789	502832	796231	261640	895297	725048	262180	249246	559896	711819
