"SRR5689224_sorted"	"SRR5689225_sorted"	"SRR5689226_sorted"	"SRR5689227_sorted"	"SRR5689228_sorted"	"SRR5689229_sorted"	"SRR5689230_sorted"	"SRR5689231_sorted"	"SRR5689232_sorted"	"SRR5689233_sorted"	"SRR5689234_sorted"	"SRR5689235_sorted"
"gene:Rv0001"	5707	4285	570	817	6723	2173	1030	703	270	602	1785	2708
"gene:Rv0002"	2309	2089	331	444	1647	458	868	830	110	174	515	723
"gene:Rv0003"	1236	1061	176	247	541	133	264	308	78	93	164	397
"gene:Rv0004"	964	894	137	176	438	106	413	345	123	156	165	440
"gene:Rv0005"	40776	36604	12366	17409	24385	8230	16232	13732	14862	14840	12655	24571
"gene:Rv0006"	35419	30698	9254	12613	11991	2664	19846	18078	16871	15527	5457	11135
"gene:Rv0007"	6231	5567	1734	2548	2188	500	4378	4036	3272	2931	871	1722
"gene:Rv0008c"	396	329	324	454	887	405	273	229	108	105	347	366
"gene:Rv0009"	7507	7020	246	321	3773	1875	2325	2193	231	385	1004	747
"gene:Rv0010c"	1651	1550	252	362	1098	387	310	213	238	238	393	761
"gene:Rv0011c"	2227	2023	1228	1493	2209	729	1015	732	1043	1110	670	612
"gene:Rv0012"	2607	2633	639	847	4011	2938	2052	1683	875	908	1214	1602
"gene:Rv0013"	1464	1346	343	452	1306	604	479	348	255	329	311	749
"gene:Rv0014c"	6323	6193	780	1095	1990	458	1732	1569	682	636	629	1104
"gene:Rv0015c"	5554	5645	896	1349	1815	679	1964	1615	571	683	768	1223
"gene:Rv0016c"	5825	5343	1687	2196	2724	850	1869	1450	813	853	936	1336
"gene:Rv0017c"	4769	4550	467	567	1574	379	2222	1565	377	483	398	756
"gene:Rv0018c"	6658	6454	965	1193	2907	932	1752	1267	929	875	845	1593
"gene:Rv0019c"	3834	3561	745	907	2042	544	1184	1016	688	754	487	957
"gene:Rv0020c"	24639	23671	5535	7454	18186	5731	11909	10838	5623	5464	6129	11074
"gene:Rv0021c"	872	886	435	606	714	351	278	187	56	90	295	372
"gene:Rv0022c"	45	35	397	506	270	180	23	23	4	10	98	46
"gene:Rv0023"	1310	1516	637	735	596	242	338	390	105	119	369	666
"gene:Rv0024"	1253	1253	470	713	601	220	541	438	154	174	394	811
"gene:Rv0025"	971	1071	237	343	1077	277	550	392	155	186	415	614
"gene:Rv0026"	1217	1117	727	1011	788	285	237	197	87	119	251	509
"gene:Rv0027"	285	263	463	608	883	112	353	438	491	329	202	398
"gene:Rv0028"	232	209	302	467	445	75	187	210	407	269	122	236
"gene:Rv0029"	2457	2452	585	848	2519	923	1159	917	409	357	1195	1428
"gene:Rv0030"	279	273	142	179	685	264	112	86	121	100	229	306
"gene:Rv0031"	63	42	47	74	74	47	9	13	18	13	28	56
"gene:Rv0032"	538	537	234	372	488	159	149	122	33	31	112	231
"gene:Rv0033"	40	46	13	19	18	7	21	45	2	2	7	9
"gene:Rv0034"	88	101	20	33	55	10	39	64	6	3	32	51
"gene:Rv0035"	493	469	67	110	162	36	122	162	18	27	46	117
"gene:Rv0036c"	2797	2814	646	846	2361	715	1827	1546	496	576	764	1569
