"SRR5689224_sorted"	"SRR5689225_sorted"	"SRR5689226_sorted"	"SRR5689227_sorted"	"SRR5689228_sorted"	"SRR5689229_sorted"	"SRR5689230_sorted"	"SRR5689231_sorted"	"SRR5689232_sorted"	"SRR5689233_sorted"	"SRR5689234_sorted"	"SRR5689235_sorted"
"putative_UTR:p1525_1622"	352	225	37	37	213	60	81	116	9	16	56	106
"putative_UTR:p4998_5239"	3136	2905	1394	1887	2792	1048	1219	1069	1099	1201	1262	2101
"putative_UTR:p7268_7301"	3471	3171	1163	1486	1549	455	1865	1510	1994	2107	727	1527
"putative_UTR:p9819_9913"	3579	3184	932	1399	1039	235	2432	2246	1998	1925	482	797
"putative_UTR:p10829_10886"	884	711	176	233	311	54	338	299	365	343	93	230
"putative_UTR:p10961_11111"	1041	953	225	240	1002	231	272	265	178	151	153	255
"putative_UTR:m12976_13132"	819	776	149	185	433	150	179	120	88	103	206	367
"putative_UTR:p13017_13727"	5086	4876	223	241	2156	816	1788	1786	188	323	548	483
"putative_UTR:m13559_13713"	1850	1668	393	594	1537	507	517	349	536	580	427	625
"putative_UTR:p14878_14913"	536	524	161	179	822	473	347	288	171	224	255	359
"putative_UTR:m15117_15589"	1606	1542	341	428	746	210	507	479	281	234	260	432
"putative_UTR:p15613_16021"	1267	1162	156	226	621	166	595	488	160	244	157	396
"putative_UTR:m23182_23269"	2120	2056	412	481	1072	339	638	431	343	423	267	549
"putative_UTR:m23738_23860"	4419	4140	725	998	2711	693	1922	1729	889	985	663	1400
"putative_UTR:m25445_25626"	1080	1087	536	601	1197	458	493	488	171	233	331	525
"putative_UTR:p25727_26119"	1046	1087	423	496	1768	697	409	259	218	359	820	1127
"putative_UTR:p29608_29721"	658	692	220	283	703	222	318	231	108	134	262	456
"putative_UTR:p31115_31188"	137	137	208	319	413	58	161	193	213	135	89	176
"putative_UTR:p31820_32056"	183	177	302	485	269	51	121	124	361	232	67	166
"putative_UTR:m38866_39055"	788	837	174	183	671	215	379	373	122	159	209	499
"putative_UTR:m41630_42003"	808	926	200	292	483	135	514	323	189	195	121	216
"putative_UTR:p41913_42196"	790	985	373	470	1052	588	611	418	434	451	562	1167
"putative_UTR:m42352_42432"	1228	1260	86	98	513	73	558	313	56	54	89	105
"putative_UTR:m46099_46580"	2168	1752	269	298	470	126	549	467	139	174	72	157
"putative_UTR:p46472_46530"	325	279	153	138	189	36	98	80	28	44	48	217
"putative_UTR:m47208_47365"	531	467	61	99	336	131	778	624	70	75	47	113
"putative_UTR:m48101_48232"	423	493	177	295	238	55	478	527	218	194	65	127
"putative_UTR:m49940_50020"	1012	988	657	853	7636	1525	2175	1614	673	604	3842	3032
"putative_UTR:m51125_51184"	720	640	611	652	9228	2891	1424	1095	327	302	2958	2709
"putative_UTR:m51728_51827"	1061	971	703	771	10582	4383	1106	616	288	327	5467	3638
"putative_UTR:p51996_52830"	1250	1181	722	992	4257	2011	514	334	345	344	3483	2914
"putative_UTR:p53245_53662"	4268	4798	321	470	4199	1030	2484	1997	799	741	1861	5478
"putative_UTR:p58054_58191"	861	787	150	187	1821	565	385	247	92	124	375	757
"putative_UTR:p58483_58585"	1575	1316	152	187	2489	723	570	463	184	234	398	1073
"putative_UTR:p59081_59121"	834	797	112	126	996	205	400	297	95	84	158	366
"putative_UTR:p59377_59408"	1494	1547	218	253	1409	290	923	798	176	202	271	568
"putative_UTR:p63021_63199"	721	649	27	52	188	36	349	260	68	71	50	96
"putative_UTR:m64382_65011"	2044	2175	754	900	3754	1088	1548	1499	708	826	818	1387
"putative_UTR:p64968_65165"	653	639	276	348	574	194	481	350	423	396	210	998
"putative_UTR:m65351_65529"	1419	1282	256	289	3366	1181	611	489	248	250	555	846
"putative_UTR:p66695_66883"	629	655	58	78	493	107	190	122	26	41	165	427
"putative_UTR:p68433_68619"	1899	1756	3176	4004	4888	1600	2768	2497	3843	3154	2257	5700
"putative_UTR:p72223_72353"	146	132	50	53	221	68	54	62	124	79	63	543
"putative_UTR:p76213_76620"	121	99	90	136	458	109	111	89	68	58	1148	297
"putative_UTR:m78897_79314"	1322	1207	114	166	2930	1387	866	631	92	130	1730	1031
"putative_UTR:p80253_80623"	970	874	108	168	925	261	199	135	95	110	130	90
"putative_UTR:p82669_82747"	610	593	36	52	264	51	252	219	45	70	69	112
"putative_UTR:p85169_85533"	677	665	180	258	523	199	254	207	86	109	174	333
"putative_UTR:m85573_85635"	35	55	221	334	222	55	77	50	34	32	200	778
"putative_UTR:m86634_87207"	873	785	273	374	845	368	182	163	133	164	404	1125
"putative_UTR:p88167_88203"	2903	4680	850	1155	15245	6195	5602	3381	989	1396	5900	5734
"putative_UTR:p89481_89574"	2284	2603	172	234	5852	2144	4387	2170	260	330	3291	2311
"putative_UTR:p97602_97757"	1799	1733	247	369	3442	870	1815	1190	1062	663	629	1013
"putative_UTR:p117540_117713"	723	614	79	74	148	37	49	47	28	27	27	88
"putative_UTR:p119700_120510"	1183	1156	973	1356	549	117	695	587	593	452	205	580
"putative_UTR:m125543_125642"	225	213	40	36	221	56	140	146	21	32	104	81
