"ERR2103718_sorted"	"ERR2103722_sorted"	"ERR2103723_sorted"
"gene:Rv0001"	2485	3479	2775
"gene:Rv0002"	686	744	574
"gene:Rv0003"	403	531	358
"gene:Rv0004"	192	236	160
"gene:Rv0005"	2956	4774	3276
"gene:Rv0006"	2930	3761	2623
"gene:Rv0007"	585	752	512
"gene:Rv0008c"	42	49	51
"gene:Rv0009"	1531	2061	1729
"gene:Rv0010c"	165	237	177
"gene:Rv0011c"	387	550	427
"gene:Rv0012"	304	357	308
"gene:Rv0013"	289	341	309
"gene:Rv0014c"	1225	1527	1035
"gene:Rv0015c"	452	626	441
"gene:Rv0016c"	628	910	701
"gene:Rv0017c"	774	1003	681
"gene:Rv0018c"	661	888	657
"gene:Rv0019c"	222	370	275
"gene:Rv0020c"	1394	2267	1789
"gene:Rv0021c"	93	144	117
"gene:Rv0022c"	1	3	7
"gene:Rv0023"	71	90	73
"gene:Rv0024"	82	84	73
"gene:Rv0025"	230	190	147
"gene:Rv0026"	209	304	228
"gene:Rv0027"	59	86	65
"gene:Rv0028"	52	59	47
"gene:Rv0029"	247	243	293
"gene:Rv0030"	60	82	66
"gene:Rv0031"	5	12	21
"gene:Rv0032"	240	194	198
"gene:Rv0033"	48	39	40
"gene:Rv0034"	49	24	34
"gene:Rv0035"	218	194	181
"gene:Rv0036c"	298	353	276
"gene:Rv0037c"	268	258	213
"gene:Rv0038"	408	415	358
"gene:Rv0039c"	21	42	32
"gene:Rv0040c"	298	564	438
"gene:Rv0041"	708	955	693
"gene:Rv0042c"	319	579	497
"gene:Rv0043c"	268	355	259
"gene:Rv0044c"	91	125	83
"gene:Rv0045c"	196	244	177
"gene:Rv0046c"	1446	1118	805
"gene:Rv0047c"	412	412	336
"gene:Rv0048c"	144	148	109
"gene:Rv0049"	269	309	271
"gene:Rv0050"	1880	2285	1556
"gene:Rv0051"	423	544	390
"gene:Rv0052"	124	197	117
"gene:Rv0053"	369	475	300
"gene:Rv0054"	289	423	287
"gene:Rv0055"	223	309	227
"gene:Rv0056"	610	751	544
"gene:Rv0057"	160	356	175
"gene:Rv0058"	894	1719	1089
"gene:Rv0059"	105	296	146
"gene:Rv0060"	692	1223	818
"gene:Rv0061c"	635	679	447
"gene:Rv0062"	81	204	130
"gene:Rv0063"	82	167	117
"gene:Rv0064"	1454	1307	996
"gene:Rv0064A"	56	38	34
"gene:Rv0065"	54	89	58
"gene:Rv0066c"	645	952	657
"gene:Rv0067c"	24	25	22
"gene:Rv0068"	24	44	28
"gene:Rv0069c"	414	645	484
"gene:Rv0070c"	232	370	317
"gene:Rv0071"	19	35	27
"gene:Rv0072"	836	1103	767
"gene:Rv0073"	829	1021	774
"gene:Rv0074"	512	591	424
"gene:Rv0075"	715	685	548
"gene:Rv0076c"	51	39	47
"gene:Rv0077c"	30	35	35
"gene:Rv0078"	21	31	23
"gene:Rv0078A"	475	530	374
"gene:Rv0078B"	289	330	239
"gene:Rv0079"	1191	1081	1576
"gene:Rv0080"	272	532	718
"gene:Rv0081"	35	91	129
"gene:Rv0082"	38	78	134
"gene:Rv0083"	49	140	188
"gene:Rv0084"	79	201	224
"gene:Rv0085"	19	51	53
"gene:Rv0086"	89	218	202
"gene:Rv0087"	72	185	162
"gene:Rv0088"	592	665	578
"gene:Rv0089"	117	120	95
"gene:Rv0090"	25	21	16
"gene:Rv0091"	70	74	68
"gene:Rv0092"	251	291	246
"gene:Rv0093c"	83	89	69
"gene:Rv0094c"	6	24	9
"gene:Rv0095c"	14	20	18
"gene:Rv0096"	12	157	15
"gene:Rv0097"	68	540	48
"gene:Rv0098"	24	319	26
"gene:Rv0099"	121	901	100
"gene:Rv0100"	11	115	10
"gene:Rv0101"	428	2873	395
"gene:Rv0102"	574	687	451
"gene:Rv0103c"	497	1043	451
"gene:Rv0104"	208	151	123
"gene:Rv0105c"	0	1	0
"gene:Rv0106"	22	25	17
"gene:Rv0107c"	2411	1843	1618
"gene:Rv0108c"	4891	3904	3693
"gene:Rv0109"	225	152	152
"gene:Rv0110"	127	181	124
"gene:Rv0111"	239	438	291
"gene:Rv0112"	203	483	419
"gene:Rv0113"	123	223	271
"gene:Rv0114"	96	189	137
"gene:Rv0115"	161	295	256
"gene:Rv0116c"	383	255	232
"gene:Rv0117"	138	91	69
"gene:Rv0118c"	413	352	429
"gene:Rv0119"	124	121	147
"gene:Rv0120c"	1311	712	634
"gene:Rv0121c"	49	58	63
"gene:Rv0122"	29	27	27
"gene:Rv0123"	37	33	33
"gene:Rv0124"	34	20	12
"gene:Rv0125"	444	443	355
"gene:Rv0126"	626	747	518
"gene:Rv0127"	446	477	321
"gene:Rv0128"	146	172	170
"gene:Rv0129c"	709	1624	1105
"gene:Rv0130"	47	35	38
"gene:Rv0131c"	197	200	169
"gene:Rv0132c"	54	47	38
"gene:Rv0133"	142	246	174
"gene:Rv0134"	356	502	341
"gene:Rv0135c"	326	529	330
"gene:Rv0136"	252	339	208
"gene:Rv0137c"	432	293	231
"gene:Rv0138"	101	159	105
"gene:Rv0139"	307	346	228
"gene:Rv0140"	191	309	285
"gene:Rv0141c"	562	563	437
"gene:Rv0142"	213	152	173
"gene:Rv0143c"	362	472	317
"gene:Rv0144"	2551	2428	1932
"gene:Rv0145"	1647	1722	1539
"gene:Rv0146"	352	359	310
"gene:Rv0147"	1210	1038	792
"gene:Rv0148"	563	598	481
"gene:Rv0149"	642	624	496
"gene:Rv0150c"	5	21	13
"gene:Rv0151c"	405	453	357
"gene:Rv0152c"	71	86	76
"gene:Rv0153c"	204	264	195
"gene:Rv0154c"	314	461	307
"gene:Rv0155"	56	172	106
"gene:Rv0156"	65	151	108
"gene:Rv0157"	348	793	472
"gene:Rv0157A"	447	265	322
"gene:Rv0158"	114	345	238
"gene:Rv0159c"	98	139	80
"gene:Rv0160c"	197	76	65
"gene:Rv0161"	56	61	33
"gene:Rv0162c"	54	80	57
"gene:Rv0163"	86	81	63
"gene:Rv0164"	665	993	702
"gene:Rv0165c"	566	527	541
"gene:Rv0166"	7264	5197	4867
"gene:Rv0167"	3175	2458	2110
"gene:Rv0168"	1120	1012	801
"gene:Rv0169"	3793	3314	2576
"gene:Rv0170"	3364	2932	2136
"gene:Rv0171"	3329	2883	2295
"gene:Rv0172"	5096	4507	3619
"gene:Rv0173"	3083	2687	2122
"gene:Rv0174"	7987	6840	5281
"gene:Rv0175"	2162	1771	1400
"gene:Rv0176"	949	986	691
"gene:Rv0177"	1631	1807	1279
"gene:Rv0178"	1038	1377	1031
"gene:Rv0179c"	196	655	458
"gene:Rv0180c"	280	352	267
"gene:Rv0181c"	185	243	155
"gene:Rv0182c"	265	321	246
"gene:Rv0183"	187	307	247
"gene:Rv0184"	127	264	182
"gene:Rv0185"	90	143	103
"gene:Rv0186"	548	752	504
"gene:Rv0186A"	506	256	720
"gene:Rv0187"	63	110	101
"gene:Rv0188"	282	320	278
"gene:Rv0189c"	602	810	612
"gene:Rv0190"	343	310	386
"gene:Rv0191"	154	189	189
"gene:Rv0192"	428	575	409
"gene:Rv0192A"	0	0	0
"gene:Rv0193c"	63	102	84
"gene:Rv0194"	30	48	30
"gene:Rv0195"	1	4	3
"gene:Rv0196"	39	180	96
"gene:Rv0197"	143	520	350
"gene:Rv0198c"	917	1249	866
"gene:Rv0199"	158	177	136
"gene:Rv0200"	260	312	218
"gene:Rv0201c"	233	270	206
"gene:Rv0202c"	1363	1482	1217
"gene:Rv0203"	54	139	67
"gene:Rv0204c"	228	259	197
"gene:Rv0205"	173	185	164
"gene:Rv0206c"	2952	3653	2819
"gene:Rv0207c"	477	764	580
"gene:Rv0208c"	176	300	233
"gene:Rv0209"	59	60	72
"gene:Rv0210"	88	86	62
"gene:Rv0211"	964	1072	831
"gene:Rv0212c"	70	83	61
"gene:Rv0213c"	73	113	75
"gene:Rv0214"	84	152	77
"gene:Rv0215c"	203	200	174
"gene:Rv0216"	170	180	166
"gene:Rv0217c"	47	76	32
"gene:Rv0218"	69	93	66
"gene:Rv0219"	36	22	27
"gene:Rv0220"	1847	2042	1425
"gene:Rv0221"	786	820	646
"gene:Rv0222"	472	489	347
"gene:Rv0223c"	311	245	164
"gene:Rv0224c"	61	85	45
"gene:Rv0225"	284	418	314
"gene:Rv0226c"	125	171	102
"gene:Rv0227c"	1014	992	802
"gene:Rv0228"	44	90	57
"gene:Rv0229c"	263	468	329
"gene:Rv0230c"	203	214	185
"gene:Rv0231"	592	623	557
"gene:Rv0232"	783	1060	901
"gene:Rv0233"	1619	1764	1675
"gene:Rv0234c"	201	223	171
"gene:Rv0235c"	137	127	114
"gene:Rv0236c"	324	514	367
"gene:Rv0236A"	181	306	225
"gene:Rv0237"	143	253	183
"gene:Rv0238"	213	322	241
"gene:Rv0239"	267	415	318
"gene:Rv0240"	41	96	55
"gene:Rv0241c"	621	664	431
