"ERR2103718_sorted"	"ERR2103722_sorted"	"ERR2103723_sorted"
"putative_UTR:p1525_1622"	49	101	92
"putative_UTR:p4998_5239"	235	373	228
"putative_UTR:p7268_7301"	224	385	230
"putative_UTR:p9819_9913"	350	404	296
"putative_UTR:p10829_10886"	105	133	94
"putative_UTR:p10961_11111"	70	119	137
"putative_UTR:m12976_13132"	75	111	81
"putative_UTR:p13017_13727"	1338	1554	1349
"putative_UTR:m13559_13713"	283	367	287
"putative_UTR:p14878_14913"	62	78	71
"putative_UTR:m15117_15589"	261	276	209
"putative_UTR:p15613_16021"	336	371	385
"putative_UTR:m23182_23269"	109	162	108
"putative_UTR:m23738_23860"	362	539	481
"putative_UTR:m25445_25626"	108	211	185
"putative_UTR:p25727_26119"	104	154	123
"putative_UTR:p29608_29721"	109	106	76
"putative_UTR:p31115_31188"	40	42	40
"putative_UTR:p31820_32056"	41	50	36
"putative_UTR:m38866_39055"	62	110	67
"putative_UTR:m41630_42003"	32	61	64
"putative_UTR:p41913_42196"	37	33	32
"putative_UTR:m42352_42432"	17	37	30
"putative_UTR:m46099_46580"	137	242	269
"putative_UTR:p46472_46530"	38	57	38
"putative_UTR:m47208_47365"	83	179	133
"putative_UTR:m48101_48232"	99	98	66
"putative_UTR:m49940_50020"	332	249	190
"putative_UTR:m51125_51184"	195	191	132
"putative_UTR:m51728_51827"	235	239	194
"putative_UTR:p51996_52830"	131	164	133
"putative_UTR:p53245_53662"	185	223	177
"putative_UTR:p58054_58191"	186	265	174
"putative_UTR:p58483_58585"	222	328	222
"putative_UTR:p59081_59121"	123	207	135
"putative_UTR:p59377_59408"	217	281	165
"putative_UTR:p63021_63199"	108	231	107
"putative_UTR:m64382_65011"	300	315	212
"putative_UTR:p64968_65165"	130	199	132
"putative_UTR:m65351_65529"	335	401	305
"putative_UTR:p66695_66883"	27	64	44
"putative_UTR:p68433_68619"	217	194	164
"putative_UTR:p72223_72353"	10	30	18
"putative_UTR:p76213_76620"	8	15	7
"putative_UTR:m78897_79314"	409	455	436
"putative_UTR:p80253_80623"	100	179	95
"putative_UTR:p82669_82747"	104	143	102
"putative_UTR:p85169_85533"	283	338	305
"putative_UTR:m85573_85635"	5	6	3
"putative_UTR:m86634_87207"	69	95	57
"putative_UTR:p88167_88203"	257	199	320
"putative_UTR:p89481_89574"	72	128	160
"putative_UTR:p97602_97757"	249	265	254
"putative_UTR:p117540_117713"	20	138	24
"putative_UTR:p119700_120510"	194	250	195
"putative_UTR:m125543_125642"	110	90	78
"putative_UTR:m130542_130894"	5135	4058	3800
"putative_UTR:p136180_136288"	42	150	105
"putative_UTR:p137246_137318"	62	150	148
"putative_UTR:p137910_137940"	46	81	88
"putative_UTR:m139997_140266"	68	32	43
"putative_UTR:m145337_145626"	120	59	72
"putative_UTR:m147772_147907"	79	62	56
"putative_UTR:p149225_149411"	25	24	14
"putative_UTR:p151075_151147"	30	20	15
"putative_UTR:p152216_152323"	95	139	90
"putative_UTR:p154130_154231"	162	168	134
"putative_UTR:p155600_155666"	44	36	33
"putative_UTR:m156251_156577"	51	124	92
"putative_UTR:m157601_157653"	68	181	114
"putative_UTR:p161475_161630"	55	77	57
"putative_UTR:m162347_162643"	50	56	50
"putative_UTR:p162674_162909"	71	125	88
"putative_UTR:m163250_163311"	47	100	60
"putative_UTR:p163308_163365"	22	34	19
"putative_UTR:m164535_164711"	62	32	23
"putative_UTR:p164692_165322"	101	112	73
