"ERR2103718_sorted"	"ERR2103722_sorted"	"ERR2103723_sorted"
"putative_sRNA:m2031_2292"	171	152	157
"putative_sRNA:m7614_8195"	138	256	171
"putative_sRNA:p17640_17922"	10	12	9
"putative_sRNA:p24688_25270"	30	47	27
"putative_sRNA:m29760_30173"	63	79	68
"putative_sRNA:m31529_31946"	202	182	163
"putative_sRNA:m45120_45636"	11	37	27
"putative_sRNA:p50564_51530"	2802	2261	2294
"putative_sRNA:p51980_52562"	97	110	99
"putative_sRNA:p68378_68557"	186	177	143
"putative_sRNA:p72678_72805"	7	11	12
"putative_sRNA:m79031_79298"	370	401	391
"putative_sRNA:m80029_80351"	93	97	87
"putative_sRNA:p103803_104684"	162	134	135
"putative_sRNA:m109674_110061"	5	16	7
"putative_sRNA:m110132_110564"	102	299	171
"putative_sRNA:m122707_123200"	80	142	100
"putative_sRNA:m137408_137675"	27	46	46
"putative_sRNA:p139715_140450"	109	145	133
"putative_sRNA:m155629_155841"	15	22	15
"putative_sRNA:m202452_202816"	38	46	46
"putative_sRNA:p210646_210833"	4	2	1
"putative_sRNA:p211044_211740"	134	155	156
"putative_sRNA:p235153_235515"	11	18	15
"putative_sRNA:m236621_236681"	67	67	65
"putative_sRNA:p241929_242193"	41	101	57
"putative_sRNA:p244633_245207"	30	38	37
"putative_sRNA:p247283_248010"	261	356	254
"putative_sRNA:p254874_255691"	114	163	119
"putative_sRNA:p267875_268175"	22	43	40
"putative_sRNA:p284128_284954"	62	66	54
"putative_sRNA:p285209_285683"	109	116	78
"putative_sRNA:p298931_299159"	72	76	47
"putative_sRNA:m304007_304498"	23	12	15
"putative_sRNA:p308921_309616"	220	250	196
"putative_sRNA:p323034_323192"	14	31	29
"putative_sRNA:p323331_323664"	12	28	19
"putative_sRNA:p329124_329670"	33	50	74
"putative_sRNA:p337128_337803"	0	1	2
"putative_sRNA:p338567_339008"	0	0	0
"putative_sRNA:m341543_342006"	111	91	58
"putative_sRNA:m345539_345927"	59	60	51
"putative_sRNA:p357614_357929"	9	9	9
"putative_sRNA:p372946_373233"	45	83	69
"putative_sRNA:p395354_395577"	9	16	5
"putative_sRNA:m401034_401607"	176	158	153
"putative_sRNA:m413013_413511"	91	246	151
"putative_sRNA:m417768_418096"	34	48	52
"putative_sRNA:m418468_418870"	88	156	125
"putative_sRNA:m419487_419766"	13	16	7
"putative_sRNA:p434969_435474"	147	141	126
"putative_sRNA:p456270_456645"	86	127	94
"putative_sRNA:p457026_457420"	237	220	211
"putative_sRNA:p458932_459384"	25	60	50
"putative_sRNA:p459736_460159"	26	66	54
"putative_sRNA:m484594_485084"	127	164	162
"putative_sRNA:p498521_498750"	88	71	49
