"SRR1917694_sorted"	"SRR1917695_sorted"	"SRR1917696_sorted"	"SRR1917697_sorted"	"SRR1917698_sorted"	"SRR1917699_sorted"	"SRR1917700_sorted"	"SRR1917701_sorted"	"SRR1917702_sorted"	"SRR1917703_sorted"	"SRR1917704_sorted"	"SRR1917705_sorted"	"SRR1917706_sorted"	"SRR1917707_sorted"	"SRR1917708_sorted"	"SRR1917709_sorted"	"SRR1917710_sorted"	"SRR1917711_sorted"	"SRR1917712_sorted"	"SRR1917713_sorted"	"SRR1917714_sorted"	"SRR1917715_sorted"
"gene:Rv0001"	2065	1014	2466	9823	8661	5945	12336	7003	3645	14867	11149	3213	1919	12129	9691	8338	3670	4425	8536	14695	3469	3014
"gene:Rv0002"	809	297	532	2044	2179	1547	3042	1631	1026	3987	2817	1266	213	1390	1317	1165	558	801	2885	4687	558	341
"gene:Rv0003"	126	63	124	368	539	406	557	283	191	938	772	303	42	250	254	192	102	103	637	823	75	55
"gene:Rv0004"	289	81	223	869	1170	827	1231	651	436	1490	1053	543	83	460	713	423	251	175	948	1604	116	89
"gene:Rv0005"	6818	3056	6380	18951	25490	18981	23826	11500	7900	21658	17337	6488	2536	15092	24627	16884	7470	6461	21533	34563	3953	2999
"gene:Rv0006"	4710	1850	3839	15344	21687	16353	19569	9646	6515	20198	16728	6418	1855	10814	18488	11113	5160	4737	16512	29187	2748	2145
"gene:Rv0007"	1335	467	1148	5264	7008	5451	7789	3884	2220	7675	5552	2627	824	4306	7310	4063	2006	1997	4764	8201	894	596
"gene:Rv0008c"	182	75	170	523	562	383	682	432	193	825	657	229	88	577	579	691	338	474	464	892	129	109
"gene:Rv0009"	2487	1150	2671	12184	11203	8312	12418	6733	3553	19330	14584	3465	590	3633	2171	3727	1533	2321	14320	23804	2339	1515
"gene:Rv0010c"	200	69	159	595	764	514	1100	537	271	1547	1125	418	90	512	760	578	235	230	986	1488	185	132
"gene:Rv0011c"	414	287	466	1240	1836	1200	1937	1027	664	2687	1936	533	231	1293	1423	994	463	617	1509	2357	571	522
"gene:Rv0012"	642	373	557	1627	1963	1547	2024	1014	640	3294	2525	971	310	1683	1819	2232	1132	1299	2260	3455	401	288
"gene:Rv0013"	832	353	773	1671	1847	1361	2993	1521	848	2817	2041	800	291	1542	2000	1512	602	671	2174	3940	463	321
"gene:Rv0014c"	1207	620	1253	5044	6288	4586	5728	3198	1955	11775	9584	3101	731	4296	5791	4802	2079	2385	9254	16324	1033	654
