"Status"	"SRR1917694_sorted"	"SRR1917695_sorted"	"SRR1917696_sorted"	"SRR1917697_sorted"	"SRR1917698_sorted"	"SRR1917699_sorted"	"SRR1917700_sorted"	"SRR1917701_sorted"	"SRR1917702_sorted"	"SRR1917703_sorted"	"SRR1917704_sorted"	"SRR1917705_sorted"	"SRR1917706_sorted"	"SRR1917707_sorted"	"SRR1917708_sorted"	"SRR1917709_sorted"	"SRR1917710_sorted"	"SRR1917711_sorted"	"SRR1917712_sorted"	"SRR1917713_sorted"	"SRR1917714_sorted"	"SRR1917715_sorted"
"1"	"Assigned"	1788892	890370	1734633	3172611	4139381	3182628	5782631	3084985	1932849	4640524	3532267	1324757	440654	2754652	3279586	3475978	1649957	2276767	3679606	6527726	1199264	962136
"2"	"Unassigned_Unmapped"	740450	429132	548068	381034	460460	421534	1202047	664263	364832	748055	477486	219616	175847	1201053	3169601	6344331	3080578	1953219	629811	1098264	601428	378743
"3"	"Unassigned_Read_Type"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4"	"Unassigned_Singleton"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5"	"Unassigned_MappingQuality"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6"	"Unassigned_Chimera"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7"	"Unassigned_FragmentLength"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8"	"Unassigned_Duplicate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9"	"Unassigned_MultiMapping"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"10"	"Unassigned_Secondary"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"11"	"Unassigned_NonSplit"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"12"	"Unassigned_NoFeatures"	5543850	2526159	4566918	9211618	12278572	9403528	24434758	13179749	7755171	14626212	10908699	4546494	1536196	9065992	12342243	11772889	5825283	7254258	10664508	18202476	5317431	5749187
"13"	"Unassigned_Overlapping_Length"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"14"	"Unassigned_Ambiguity"	33615	14758	33323	64196	83451	63497	124982	59699	45619	107590	70664	22454	8247	45094	51715	50078	21618	30248	74808	131189	24073	17823
