"SRR1917694_sorted"	"SRR1917695_sorted"	"SRR1917696_sorted"	"SRR1917697_sorted"	"SRR1917698_sorted"	"SRR1917699_sorted"	"SRR1917700_sorted"	"SRR1917701_sorted"	"SRR1917702_sorted"	"SRR1917703_sorted"	"SRR1917704_sorted"	"SRR1917705_sorted"	"SRR1917706_sorted"	"SRR1917707_sorted"	"SRR1917708_sorted"	"SRR1917709_sorted"	"SRR1917710_sorted"	"SRR1917711_sorted"	"SRR1917712_sorted"	"SRR1917713_sorted"	"SRR1917714_sorted"	"SRR1917715_sorted"
"putative_UTR:p1525_1622"	100	43	168	605	618	427	723	371	255	896	639	143	66	540	510	496	199	229	643	1067	250	223
"putative_UTR:p4998_5239"	885	420	932	2543	3453	2474	3392	1602	1131	3281	2464	765	276	1886	2682	2300	874	792	2614	4055	588	387
"putative_UTR:p7268_7301"	409	128	292	1040	1340	1002	1305	610	413	1307	1101	387	119	630	1133	702	291	273	1223	1870	186	160
"putative_UTR:p9819_9913"	389	139	406	1442	2261	1697	2308	1129	734	2270	1689	528	185	1102	1823	1093	538	564	1283	2193	224	126
"putative_UTR:p10829_10886"	173	63	133	666	719	624	1090	523	263	930	645	270	110	514	743	377	168	200	682	1452	86	61
"putative_UTR:p10961_11111"	334	136	241	1039	1456	1175	1348	728	397	2441	1698	721	125	719	896	453	192	307	1661	2712	267	192
"putative_UTR:m12976_13132"	94	35	64	291	345	280	535	261	136	703	492	240	53	267	361	238	129	96	438	709	85	44
"putative_UTR:p13017_13727"	1938	934	2219	9646	10338	7456	9713	5432	2766	14767	10697	3255	403	2953	1790	2684	1136	1575	10963	18889	1678	1077
"putative_UTR:m13559_13713"	419	227	420	1312	1686	1127	2164	1092	632	3149	2198	555	191	1111	1391	1041	350	544	1614	2795	541	419
"putative_UTR:p14878_14913"	71	53	54	151	211	189	215	127	65	405	290	87	39	183	219	243	88	115	223	420	34	10
"putative_UTR:m15117_15589"	354	183	274	1188	1555	1134	1797	856	537	2608	1856	801	133	990	1287	940	457	473	1755	3078	246	177
"putative_UTR:p15613_16021"	704	331	586	1404	1541	1175	2324	1196	776	2110	1633	739	219	1070	1435	794	326	377	1858	3228	325	214
"putative_UTR:m23182_23269"	118	71	93	361	633	443	501	245	138	996	784	337	93	384	626	540	292	263	655	1241	89	55
"putative_UTR:m23738_23860"	706	339	721	2532	3363	2582	2675	1502	877	5359	3930	1214	270	1882	2435	2551	1130	1236	4055	7422	528	373
"putative_UTR:m25445_25626"	245	158	269	865	935	850	710	422	236	1918	1687	560	144	697	891	960	439	577	1218	2272	203	114
"putative_UTR:p25727_26119"	504	337	526	1523	1776	1197	2796	1405	689	2316	1583	604	202	1397	1157	1175	537	690	1648	2645	405	355
"putative_UTR:p29608_29721"	167	106	129	349	458	378	593	282	172	830	638	223	46	303	387	435	210	219	555	823	121	83
"putative_UTR:p31115_31188"	39	17	43	139	144	170	177	135	35	224	178	48	14	106	113	109	48	49	151	307	65	19
"putative_UTR:p31820_32056"	147	89	127	312	407	324	432	226	142	524	318	157	70	241	312	361	156	207	401	624	142	112
"putative_UTR:m38866_39055"	332	186	259	761	972	774	1116	728	384	1553	1109	443	130	738	886	696	350	419	1102	1895	242	188
"putative_UTR:m41630_42003"	306	105	239	1012	1290	843	1320	676	330	2393	1815	540	127	862	725	777	341	562	1223	2158	374	183
"putative_UTR:p41913_42196"	314	136	252	762	1341	907	1440	592	348	1335	1017	442	128	761	1300	855	502	491	548	1053	127	94
"putative_UTR:m42352_42432"	204	96	140	578	776	416	581	456	242	1060	776	381	40	165	233	113	40	83	1213	2137	75	60
"putative_UTR:m46099_46580"	726	357	902	2236	2615	1862	2734	1559	769	5373	3936	945	206	1120	1235	485	215	312	3168	5814	442	228
"putative_UTR:p46472_46530"	92	55	44	200	233	198	284	134	104	412	313	177	14	109	118	101	53	59	327	683	21	39
"putative_UTR:m47208_47365"	53	28	60	319	404	274	258	144	63	634	626	196	32	247	179	145	91	81	779	1519	52	53
"putative_UTR:m48101_48232"	146	68	121	342	424	328	409	243	147	574	406	132	50	303	344	291	125	135	425	817	68	44
"putative_UTR:m49940_50020"	356	126	268	1036	1159	861	1315	754	464	1846	1438	606	100	674	745	837	404	723	1427	3009	697	358
"putative_UTR:m51125_51184"	198	82	217	665	685	628	940	501	332	1420	1113	255	55	343	376	398	197	434	995	1794	545	204
"putative_UTR:m51728_51827"	210	105	190	616	627	475	906	501	281	1312	858	307	39	308	445	974	539	670	1002	1232	383	199
"putative_UTR:p51996_52830"	554	333	519	2338	2693	2298	2224	1223	731	2988	1935	697	353	1954	2234	2727	1400	1539	1922	3239	1271	935
"putative_UTR:p53245_53662"	1367	533	1031	3687	4979	3918	4239	2482	1350	7485	5632	2275	717	3643	3925	7761	3801	5424	5124	9586	978	666
"putative_UTR:p58054_58191"	310	126	305	850	920	719	1309	742	389	2459	1963	452	84	892	666	855	465	510	1376	2422	384	216
"putative_UTR:p58483_58585"	237	121	193	643	736	462	987	491	347	2336	1781	637	123	820	654	822	311	445	1520	2725	289	180
"putative_UTR:p59081_59121"	194	91	205	529	599	357	725	470	268	2334	1754	584	100	661	605	549	246	302	1351	2241	170	131
"putative_UTR:p59377_59408"	104	40	97	229	273	168	264	158	123	1047	687	241	51	295	219	245	67	111	814	1241	47	59
"putative_UTR:p63021_63199"	209	91	141	891	1100	944	510	384	353	1484	1280	357	51	312	446	234	108	121	1397	2025	79	60
"putative_UTR:m64382_65011"	1489	765	1384	5907	5614	4295	8155	4528	2427	6966	4620	2051	1084	6514	3562	5157	2328	2595	6242	11326	1564	1177
"putative_UTR:p64968_65165"	386	242	411	1037	1179	1163	908	749	455	1788	1496	554	124	696	1088	585	282	254	1353	2053	196	186
"putative_UTR:m65351_65529"	181	103	178	833	964	625	1185	666	322	1251	1129	298	117	832	468	857	344	494	852	1365	254	161
"putative_UTR:p66695_66883"	144	50	109	397	461	303	324	159	96	1468	1179	510	33	220	153	247	138	146	1018	1865	53	25
"putative_UTR:p68433_68619"	554	477	586	893	1446	1144	1747	878	612	1762	1213	569	166	822	1249	1411	761	535	1260	2048	393	347
"putative_UTR:p72223_72353"	56	33	69	150	211	129	214	120	41	339	214	99	22	119	128	107	46	31	171	235	75	43
"putative_UTR:p76213_76620"	36	17	39	88	124	112	176	96	38	119	101	49	4	87	103	69	34	36	105	166	31	19
"putative_UTR:m78897_79314"	875	530	771	1667	1399	940	2638	1968	1243	3630	2489	724	228	1244	584	1270	545	1017	2309	3891	1664	1209
"putative_UTR:p80253_80623"	548	380	732	1753	2551	1798	1807	1144	616	4319	3241	1278	369	2015	1924	1047	526	718	1922	3345	575	429
"putative_UTR:p82669_82747"	233	93	137	452	586	496	618	402	244	905	629	384	49	321	452	205	83	113	623	1084	83	76
"putative_UTR:p85169_85533"	198	75	159	622	711	554	796	477	283	1282	1023	396	63	483	510	319	151	125	839	1400	195	138
"putative_UTR:m85573_85635"	37	8	26	31	42	36	48	25	16	39	14	6	7	23	9	147	73	112	107	194	128	124
"putative_UTR:m86634_87207"	191	102	308	595	793	766	747	352	200	1237	929	445	144	838	841	1504	775	751	706	1296	207	137
"putative_UTR:p88167_88203"	2144	1114	1716	1176	4834	3807	3934	3010	2973	266	301	164	31	277	198	1354	1165	2356	459	985	144	445
"putative_UTR:p89481_89574"	568	382	660	112	733	687	886	717	1015	435	299	151	60	347	399	2724	2162	3359	146	259	20	45
"putative_UTR:p97602_97757"	334	194	275	442	559	411	994	510	325	1140	786	393	53	269	164	321	170	240	809	1442	211	189
"putative_UTR:p117540_117713"	52	9	42	84	136	127	168	66	73	430	301	145	13	83	131	58	22	27	96	209	24	23
"putative_UTR:p119700_120510"	431	180	304	937	1118	842	1523	790	489	1667	1294	460	120	612	827	385	177	119	963	1742	314	219
"putative_UTR:m125543_125642"	144	65	123	388	544	366	807	442	281	729	467	216	68	460	678	221	134	127	349	564	98	88
"putative_UTR:m130542_130894"	8975	3779	6835	16297	16600	11602	30376	18696	11419	23361	15470	6356	3307	20674	18724	10431	4359	6210	17470	29796	6015	4483
"putative_UTR:p136180_136288"	117	55	132	501	527	358	539	207	135	561	391	130	42	322	221	169	74	69	480	747	55	65
"putative_UTR:p137246_137318"	115	52	87	413	461	287	318	158	114	492	398	115	17	224	199	117	45	59	476	846	62	56
