"SRR3725585_sorted"	"SRR3725586_sorted"	"SRR3725587_sorted"	"SRR3725588_sorted"	"SRR3725589_sorted"	"SRR3725590_sorted"	"SRR3725591_sorted"	"SRR3725592_sorted"	"SRR3725593_sorted"	"SRR3725594_sorted"	"SRR3725595_sorted"	"SRR3725596_sorted"	"SRR3725597_sorted"	"SRR3725598_sorted"	"SRR3725599_sorted"
"gene:Rv0001"	3396	3286	3058	5063	4560	5212	5425	3987	5259	5740	6719	6818	6076	6627	8501
"gene:Rv0002"	105	112	105	1038	875	1045	1082	793	1008	923	1220	1112	855	1017	1029
"gene:Rv0003"	131	128	127	1368	1316	1432	1053	836	987	936	1032	887	791	848	1035
"gene:Rv0004"	143	171	135	965	880	1061	813	611	714	607	713	656	478	560	613
"gene:Rv0005"	23857	24102	22445	25160	23105	28173	23020	17086	21755	21355	24146	22409	19303	23059	28678
"gene:Rv0006"	13825	13415	12533	22227	20921	24726	21861	16494	20047	18733	21932	19357	16124	19317	22891
"gene:Rv0007"	2446	2397	1911	4958	4999	5593	4932	3426	4560	3914	4401	3861	2927	3655	4273
"gene:Rv0008c"	502	515	401	325	325	370	327	241	291	278	357	339	249	288	348
"gene:Rv0009"	1743	1681	1558	8705	8142	9154	8720	6097	7970	6638	7975	7977	6322	6924	8227
"gene:Rv0010c"	365	401	380	653	566	674	574	505	544	523	597	534	532	548	668
"gene:Rv0011c"	483	495	487	1502	1333	1561	1628	1203	1529	1513	1730	1967	1995	1965	2398
"gene:Rv0012"	1153	1133	986	1865	1693	1905	1561	1225	1494	1430	1628	1553	1412	1576	1717
"gene:Rv0013"	1021	938	873	1821	1753	1957	1605	1254	1543	1361	1599	1632	1403	1521	1716
"gene:Rv0014c"	1185	1233	1057	4709	4649	4945	5370	3755	4974	5054	5790	5529	4058	4500	5830
"gene:Rv0015c"	1159	1117	1010	5385	5270	6257	5624	3803	4801	4832	5404	4853	3665	4411	5367
"gene:Rv0016c"	2020	2031	1780	4356	3977	4534	4279	3167	4061	3871	4516	4546	3390	4190	5122
"gene:Rv0017c"	749	787	608	2123	1949	2221	2437	1715	2249	2108	2469	2543	1805	2129	2606
"gene:Rv0018c"	2289	2263	1998	5563	5284	6089	5636	4032	5145	4814	5699	5385	4315	5218	5901
"gene:Rv0019c"	1000	998	887	2643	2596	2869	2343	1904	2222	1973	2565	2332	1984	2151	2555
"gene:Rv0020c"	9828	9683	8157	15620	14806	17156	15736	11157	14200	13447	15976	14602	12527	14224	16710
"gene:Rv0021c"	251	268	197	325	307	367	403	270	343	337	407	407	288	335	349
"gene:Rv0022c"	18	21	13	19	18	25	28	19	20	24	27	30	28	36	30
"gene:Rv0023"	180	158	158	502	465	514	421	320	373	460	507	524	550	542	757
"gene:Rv0024"	176	190	151	569	543	596	624	413	495	583	728	673	640	718	829
"gene:Rv0025"	158	157	138	283	269	304	296	241	272	312	389	359	303	381	404
"gene:Rv0026"	530	559	420	944	790	950	765	569	703	689	829	730	601	712	891
"gene:Rv0027"	359	400	322	310	326	347	276	175	238	180	232	257	175	203	232
"gene:Rv0028"	368	365	280	327	268	344	227	156	227	158	153	159	97	145	162
"gene:Rv0029"	2989	3635	2958	1533	1451	1651	1372	983	1177	1016	1192	1296	1009	1150	1335
"gene:Rv0030"	250	306	265	228	227	209	213	139	196	212	188	211	172	231	254
"gene:Rv0031"	63	74	58	70	36	45	42	32	46	51	71	48	44	44	64
"gene:Rv0032"	204	172	142	263	222	248	287	215	277	298	302	343	241	258	295
"gene:Rv0033"	14	13	15	28	29	32	36	25	39	42	40	40	28	30	36
"gene:Rv0034"	21	26	17	38	26	30	48	25	30	34	35	34	32	35	29
"gene:Rv0035"	121	124	122	187	191	201	263	218	267	235	260	265	197	214	231
"gene:Rv0036c"	593	631	531	1773	1751	1907	1700	1236	1691	1374	1697	1616	1065	1290	1446
"gene:Rv0037c"	1348	1400	1090	1751	1691	1743	1714	1162	1496	1166	1561	1360	903	1058	1023
"gene:Rv0038"	1342	1353	1207	1186	1067	1200	1074	793	955	860	1061	1113	951	1122	1299
"gene:Rv0039c"	251	272	224	678	629	625	809	608	674	715	974	891	741	801	709
"gene:Rv0040c"	532	542	446	645	602	646	4022	2783	3512	4465	5293	5389	3891	4236	5014
"gene:Rv0041"	2029	2132	1883	2987	2723	3036	3042	2193	2737	2370	2700	2631	1661	1969	2166
"gene:Rv0042c"	228	218	213	2108	1921	2141	2515	1757	2182	2093	2631	2727	2290	2724	2929
"gene:Rv0043c"	313	361	333	912	894	1004	1044	773	1007	774	920	858	554	629	792
"gene:Rv0044c"	280	283	218	560	561	650	607	476	561	474	621	490	392	490	468
"gene:Rv0045c"	798	892	785	618	598	613	597	445	585	551	761	665	542	562	607
"gene:Rv0046c"	2475	2420	2152	1173	1119	1265	1606	1145	1486	1897	2263	2145	1477	1665	1921
"gene:Rv0047c"	1927	1967	1755	510	495	569	669	469	569	802	954	1005	642	806	923
"gene:Rv0048c"	873	771	680	490	498	499	668	489	527	551	675	635	452	528	579
"gene:Rv0049"	4104	4224	3540	3127	2939	3144	3319	2527	3008	2594	3117	3086	2202	2475	2899
"gene:Rv0050"	5257	5158	4658	8197	7618	8789	8342	6327	7801	6092	7215	6487	4340	5200	6158
"gene:Rv0051"	1006	971	777	1856	1722	1917	1733	1276	1573	1321	1546	1403	961	1114	1249
"gene:Rv0052"	277	279	215	699	611	598	593	435	541	427	553	447	394	488	515
