"SRR3725585_sorted"	"SRR3725586_sorted"	"SRR3725587_sorted"	"SRR3725588_sorted"	"SRR3725589_sorted"	"SRR3725590_sorted"	"SRR3725591_sorted"	"SRR3725592_sorted"	"SRR3725593_sorted"	"SRR3725594_sorted"	"SRR3725595_sorted"	"SRR3725596_sorted"	"SRR3725597_sorted"	"SRR3725598_sorted"	"SRR3725599_sorted"
"putative_UTR:p1525_1622"	65	75	62	145	138	168	139	116	164	169	183	225	163	190	250
"putative_UTR:p4998_5239"	827	842	784	1274	1200	1483	987	806	972	904	1095	989	789	938	1192
"putative_UTR:p7268_7301"	983	921	911	1158	1094	1400	1172	809	1072	969	1083	1063	994	1161	1229
"putative_UTR:p9819_9913"	1025	1040	965	2683	2570	3047	2593	1984	2321	2058	2477	2040	1604	1709	2192
"putative_UTR:p10829_10886"	91	120	98	246	199	268	219	198	229	203	233	201	160	149	204
"putative_UTR:p10961_11111"	194	233	189	443	369	354	570	419	523	559	733	621	528	678	646
"putative_UTR:m12976_13132"	189	174	193	278	242	249	247	229	256	217	239	228	205	230	267
"putative_UTR:p13017_13727"	1264	1336	1171	6170	5649	6452	5166	3615	4701	3651	4244	4152	3271	3728	4288
"putative_UTR:m13559_13713"	332	382	366	893	739	930	1022	740	906	888	1059	1176	1176	1135	1438
"putative_UTR:p14878_14913"	162	166	119	242	204	227	201	153	172	171	212	191	156	173	176
"putative_UTR:m15117_15589"	437	446	391	910	901	947	811	614	788	762	920	920	682	687	844
"putative_UTR:p15613_16021"	388	408	356	874	831	921	751	572	732	536	763	684	578	703	734
"putative_UTR:m23182_23269"	386	434	337	1214	1168	1358	1128	830	938	906	1186	1098	949	1123	1147
"putative_UTR:m23738_23860"	1063	1007	919	2188	2004	2488	2169	1723	2105	1728	2294	2041	1709	2007	2227
"putative_UTR:m25445_25626"	675	672	598	945	894	958	821	570	743	778	908	889	836	848	1073
"putative_UTR:p25727_26119"	1582	1615	1509	982	865	797	915	650	834	869	1030	957	930	953	904
"putative_UTR:p29608_29721"	215	228	178	183	163	194	195	155	167	173	214	218	181	236	268
"putative_UTR:p31115_31188"	125	139	132	155	161	184	131	97	147	94	114	123	95	112	107
"putative_UTR:p31820_32056"	243	270	245	217	203	249	169	113	178	101	118	133	65	97	109
"putative_UTR:m38866_39055"	167	185	155	509	441	512	452	355	483	377	454	440	227	254	300
"putative_UTR:m41630_42003"	309	299	281	551	487	558	493	322	452	396	534	467	343	369	368
"putative_UTR:p41913_42196"	590	598	550	378	348	376	264	188	269	202	303	311	265	296	375
"putative_UTR:m42352_42432"	80	63	46	90	80	105	329	210	245	298	425	393	262	299	280
"putative_UTR:m46099_46580"	100	105	88	770	677	828	873	587	744	755	882	913	737	904	996
"putative_UTR:p46472_46530"	45	34	23	71	73	56	75	52	72	42	55	54	32	36	33
"putative_UTR:m47208_47365"	60	58	54	235	184	210	216	170	189	142	189	180	131	136	156
"putative_UTR:m48101_48232"	107	91	113	251	253	299	306	262	275	220	260	235	173	195	219
"putative_UTR:m49940_50020"	450	496	459	292	271	289	389	244	318	370	468	383	310	330	394
"putative_UTR:m51125_51184"	534	495	505	231	203	272	310	211	327	414	451	565	313	354	559
"putative_UTR:m51728_51827"	539	584	536	179	160	210	243	210	211	257	325	331	215	249	263
"putative_UTR:p51996_52830"	1523	1521	1299	811	735	811	774	568	698	702	757	771	617	702	890
"putative_UTR:p53245_53662"	4091	4304	3452	3272	3066	3438	3557	2602	3223	2782	3112	3155	2256	2654	2939
"putative_UTR:p58054_58191"	1774	1855	1524	924	879	855	1033	795	955	872	1075	1046	633	639	899
"putative_UTR:p58483_58585"	1791	1868	1741	986	902	1035	1256	824	1124	1009	1139	1031	636	609	718
"putative_UTR:p59081_59121"	794	775	855	1153	1092	1429	1467	1077	1478	1148	1384	1329	847	857	1170
"putative_UTR:p59377_59408"	624	636	659	907	857	1012	1249	861	1060	824	980	998	694	734	900
"putative_UTR:p63021_63199"	178	156	147	842	800	934	1119	802	952	756	852	773	548	635	789
"putative_UTR:m64382_65011"	1682	1616	1413	1237	1231	1367	1413	1027	1265	901	1128	1013	620	708	717
"putative_UTR:p64968_65165"	340	303	259	422	379	480	466	315	447	316	394	357	274	301	364
"putative_UTR:m65351_65529"	1396	1503	1271	1258	1332	1521	1951	1587	1816	1541	1824	1803	1319	1480	1497
"putative_UTR:p66695_66883"	121	146	125	409	409	433	495	345	439	445	558	452	330	396	388
"putative_UTR:p68433_68619"	1343	1357	1179	462	465	481	372	340	362	318	373	381	339	378	480
"putative_UTR:p72223_72353"	122	120	132	63	38	61	53	21	50	26	32	29	33	42	21
"putative_UTR:p76213_76620"	44	52	38	46	39	49	44	35	30	41	35	51	33	49	57
"putative_UTR:m78897_79314"	351	344	287	328	377	367	674	478	591	660	822	808	712	807	679
"putative_UTR:p80253_80623"	525	530	477	1875	1651	2026	1716	1144	1564	1388	1683	1604	1036	1276	1628
"putative_UTR:p82669_82747"	120	99	74	413	376	422	309	237	334	239	320	253	178	197	205
"putative_UTR:p85169_85533"	337	333	345	939	872	967	723	533	706	536	580	601	394	437	502
"putative_UTR:m85573_85635"	34	29	22	29	17	32	15	12	18	20	14	19	24	18	15
"putative_UTR:m86634_87207"	1299	1166	1043	548	560	585	378	240	346	305	312	301	250	300	321
"putative_UTR:p88167_88203"	1955	1919	1761	823	729	769	496	345	384	799	1007	1015	873	978	1275
"putative_UTR:p89481_89574"	1086	1080	906	609	527	556	281	189	247	451	531	463	448	535	537
