V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15
0.05 9 9 8 9 9 10 9 8 9 8 9 8 7 8 8
0.1 15 15 14 17 16 17 17 14 16 15 17 16 14 16 17
0.15 22 22 20 25 24 25 26 22 25 23 25 25 22 25 27
0.2 29 29 26 34 33 35 37 30 35 33 36 35 31 36 38
0.25 37 37 33 45 44 46 49 40 46 45 48 47 42 48 51
0.3 45 46 42 57 55 58 64 52 60 57 62 61 54 62 66
0.35 56 56 51 72 69 73 80 65 76 72 78 77 68 78 82
0.4 68 68 62 89 86 91 100 80 95 89 97 96 83 96 102
0.45 81 82 75 109 106 112 124 98 116 109 119 117 101 117 124
0.5 98 99 90 132 128 137 150 119 141 132 145 142 122 142 150
