V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15
0.05 9 9 8 9 9 9 9 7 8 8 9 8 7 8 8
0.1 15 15 13 16 16 17 16 14 16 15 16 16 14 16 17
0.15 21 21 19 25 24 25 26 22 25 24 25 25 23 25 27
0.2 27 27 25 34 33 35 37 31 36 34 36 36 33 37 39
0.25 35 35 32 46 45 47 51 42 49 47 50 50 44 51 53
0.3 44 44 40 60 58 61 67 54 64 61 66 65 58 67 70
0.35 54 54 50 76 74 78 86 69 81 77 83 83 73 84 88
0.4 66 66 61 95 92 97 108 86 102 96 104 103 90 105 110
0.45 81 81 74 117 114 120 133 105 125 118 129 127 110 128 135
0.5 98 99 90 143 138 147 162 127 152 144 158 155 132 155 163
