V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15
0.1 15 15 14 17 16 17 17 14 16 15 17 16 14 16 17
0.2 29 29 26 34 33 35 37 30 35 33 36 35 31 36 38
0.3 45 46 42 57 55 58 64 52 60 57 62 61 54 62 66
0.4 68 68 62 89 86 91 100 80 95 89 97 96 83 96 102
0.5 98 99 90 132 128 137 150 119 141 132 145 142 122 142 150
0.6 144 145 132 192 185 198 219 171 204 191 213 206 175 205 219
0.7 216 218 197 278 268 287 318 244 294 277 311 297 253 297 318
0.8 344 347 312 418 402 437 475 360 435 412 466 445 378 446 481
0.9 672 681 610 713 686 754 805 606 742 712 813 772 665 785 864
0.95 1168 1184 1056 1106 1061 1179 1259 944 1159 1132 1299 1231 1071 1258 1425
