V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V13 V14 V15
0.1 15 15 13 16 16 17 16 14 16 15 16 16 14 16 17
0.2 27 27 25 34 33 35 37 31 36 34 36 36 33 37 39
0.3 44 44 40 60 58 61 67 54 64 61 66 65 58 67 70
0.4 66 66 61 95 92 97 108 86 102 96 104 103 90 105 110
0.5 98 99 90 143 138 147 162 127 152 144 158 155 132 155 163
0.6 146 147 134 209 202 217 237 183 220 206 230 223 189 222 237
0.7 222 226 204 309 297 320 345 266 321 300 338 326 274 324 349
0.8 360 363 329 479 460 504 531 405 493 467 530 505 424 498 545
0.9 680 686 616 844 809 896 937 706 865 830 949 893 765 904 1004
0.95 1179 1200 1087 1310 1254 1391 1457 1090 1344 1296 1489 1411 1214 1431 1623
