V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
0.1 38 37 31 40 38 20 28 26 16 18 21 30
0.2 88 87 52 66 81 40 66 60 36 39 47 64
0.3 155 154 76 96 135 66 115 104 61 63 79 111
0.4 245 245 107 133 205 99 180 161 93 96 121 170
0.5 370 370 147 183 298 143 268 239 138 140 178 250
0.6 536 535 207 256 435 207 386 348 201 203 264 371
0.7 770 769 306 380 648 304 571 517 294 300 405 560
0.8 1123 1120 490 606 1032 483 911 808 477 474 658 930
0.9 1908 1884 1072 1316 1961 932 1815 1633 999 1023 1551 1908
0.95 3041 2937 1997 2507 3480 1664 3392 3028 1766 1742 3394 3552
