V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12
0.1 39 38 29 37 37 19 29 27 16 18 21 30
0.2 92 92 48 61 78 39 68 61 35 38 44 63
0.3 162 162 70 87 132 63 119 106 59 63 74 106
0.4 257 257 98 122 199 95 184 162 90 94 113 163
0.5 384 382 137 170 289 140 272 238 134 138 170 240
0.6 558 552 194 240 420 207 395 351 197 201 254 362
0.7 804 795 290 352 638 320 602 541 298 298 397 561
0.8 1260 1242 492 596 1073 532 1034 938 505 490 700 952
0.9 2454 2430 1048 1289 2169 1110 2198 1922 1101 1046 1668 2000
0.95 4141 4007 1978 2498 3844 2257 4112 3464 1970 1913 3616 3814
