SRR5689224	SRR5689225	SRR5689226	SRR5689227	SRR5689228	SRR5689229	SRR5689230	SRR5689231	SRR5689232	SRR5689233	SRR5689234	SRR5689235
5%	19	18	20	29	26	7	7	6	3	4	8	16
6%	22	21	22	32	29	8	9	7	4	5	9	19
7%	25	24	24	34	33	9	10	8	4	6	10	21
8%	28	27	25	37	36	10	11	9	5	7	11	23
9%	31	30	27	39	39	11	13	10	5	7	12	25
10%	34	33	29	41	42	11	14	11	6	8	13	27
11%	37	36	30	43	46	12	16	12	6	9	14	29
12%	40	39	32	45	49	13	17	14	7	9	15	31
13%	44	42	33	47	52	14	19	15	8	10	16	33
14%	47	45	34	49	55	15	20	16	8	11	17	35
15%	50	49	36	51	58	16	22	17	9	12	18	37
16%	54	52	37	53	61	17	23	19	9	12	19	39
17%	57	55	39	55	65	18	25	20	10	13	20	42
18%	61	59	40	57	68	19	27	21	11	14	21	44
19%	64	62	42	59	71	20	28	23	11	15	23	46
20%	68	65	43	61	74	21	30	24	12	15	24	48
