SRR3725585	SRR3725586	SRR3725587	SRR3725588	SRR3725589	SRR3725590	SRR3725591	SRR3725592	SRR3725593	SRR3725594	SRR3725595	SRR3725596	SRR3725597	SRR3725598	SRR3725599
5%	11	11	9	18	16	18	17	12	14	13	15	14	11	12	13
6%	13	13	11	20	19	21	19	14	17	15	18	16	13	15	15
7%	15	15	13	23	21	24	22	16	19	17	20	18	15	17	18
8%	17	17	14	26	24	26	25	18	22	20	23	21	16	19	20
9%	18	19	16	29	26	29	28	20	25	22	26	23	18	21	22
10%	20	20	18	31	29	32	31	22	27	24	28	26	20	23	25
11%	22	22	19	34	31	35	33	24	30	26	31	28	22	26	27
12%	24	24	21	36	34	38	36	26	33	29	34	31	24	28	30
13%	25	26	22	39	36	40	39	28	35	31	36	33	26	30	32
14%	27	27	24	42	39	43	42	30	38	33	39	35	28	32	35
15%	29	29	25	44	41	46	45	32	40	35	42	38	30	35	37
16%	31	31	26	47	44	49	48	34	43	38	45	41	32	37	40
17%	32	33	28	50	46	51	51	36	46	40	48	43	34	40	43
18%	34	34	29	52	49	54	54	38	48	43	51	46	36	42	45
19%	36	36	31	55	52	57	57	40	51	45	54	49	38	45	48
20%	38	38	33	58	54	60	60	43	54	48	57	51	41	47	51
