seqnames start strand sRNA_ID locus distance TSS
H37Rv 80240 + ncRv10071 MTB000100 0 80240
H37Rv 80344 - ncRv10071c MTB000101 2 80341
H37Rv 293603 + ncRv10243 MTB000107 0 293604
H37Rv 293604 + F6 MTB000051 0 293605
H37Rv 558815 + ncRv10467 MTB000109 8 558824
H37Rv 579290 + ncRv0490 MTB000110 0 579290
H37Rv 704185 + ncRv10609 MTB000111 2 704188
H37Rv 704187 + B55 MTB000052 0 704188
H37Rv 733361 + ncRv10637 MTB000112 0 733362
H37Rv 759479 + ncRv10666 MTB000115 0 759480
H37Rv 905164 - ncRv0810c MTB000119 0 905163
H37Rv 1197082 + ncRv1072 MTB000125 0 1197082
H37Rv 1220487 - MTS0858 MTB000074 0 1220487
H37Rv 1313452 - ncRv11179c MTB000128 0 1313451
H37Rv 1413224 - mcr11 MTB000063 0 1413224
H37Rv 1413227 - ncRv11264c MTB000130 1 1413225
H37Rv 1473385 + ncRv11315 MTB000133 0 1473385
H37Rv 1547129 + MTS1082 MTB000076 0 1547129
H37Rv 1692646 + ncRv1501 MTB000136 0 1692646
H37Rv 1915190 - G2 MTB000054 1 1915188
H37Rv 1960667 + ncRv11733 MTB000139 1 1960665
H37Rv 1960667 + MTS1338 MTB000077 1 1960665
H37Rv 2096766 + ncRv11846 MTB000142 5 2096760
H37Rv 2268164 + ncRv12023 MTB000143 2 2268167
H37Rv 2692172 + mcr7 MTB000067 5 2692166
H37Rv 3092886 - ncRv12783c MTB000148 0 3092885
H37Rv 3343216 - ncRv2986c MTB000149 0 3343216
H37Rv 3351074 - ncRv2993c MTB000150 2 3351071
H37Rv 3363152 - ncRv13003c MTB000151 0 3363152
H37Rv 3837458 - ncRv13418cB MTB000155 0 3837458
H37Rv 3837458 - ncRv13418cA MTB000154 0 3837458
H37Rv 4099477 - ncRv13660c MTB000159 2 4099480
H37Rv 4099478 - B11 MTB000058 1 4099480
H37Rv 4100669 + MTS2823 MTB000078 0 4100670
H37Rv 4168281 - ncRv13722c MTB000160 0 4168281
H37Rv 4168281 - C8 MTB000059 0 4168281
H37Rv 4265765 - ncRv3804c MTB000161 8 4265756
H37Rv 4317073 + MTS2975 MTB000080 0 4317073
