seqnames sRNA_ID start end strand TSS
H37Rv ncRv10932Ac 1041129 1041165 - 1041165
H37Rv ncRv1008 1127875 1127999 + 1127876
H37Rv ncRv11008 1127949 1127999 + 1127955
H37Rv ncRv1065 1187351 1187589 + 1187351
H37Rv ncRv1072C 1197082 1197184 + 1197082
H37Rv ncRv11092c 1220388 1220486 - 1220487
H37Rv ncRv11144Bc 1271918 1272169 - 1272168
H37Rv ncRv11160A 1287126 1287201 + 1287124
H37Rv ncRv11179c 1313344 1313452 - 1313451
H37Rv ncRv11264c 1413105 1413227 - 1413225
H37Rv ncRv11315B 1473385 1473509 + 1473385
H37Rv ncRv11429 1606254 1606319 + 1606253
H37Rv ncRv1501 1692652 1692737 + 1692646
H37Rv ncRv11534 1735508 1735687 + 1735508
H37Rv ncRv11689Ac 1914963 1915028 - 1915028
H37Rv ncRv11733 1960667 1960774 + 1960665
H37Rv ncRv11779c 2014582 2014627 - 2014627
H37Rv ncRv11803 2046922 2046995 + 2046922
H37Rv ncRv11829 2074745 2074827 + 2074749
H37Rv ncRv11846 2096758 2096863 + 2096760
H37Rv ncRv12023 2268164 2268231 + 2268167
H37Rv ncRv2165Ac 2429342 2429502 - 2429503
H37Rv ncRv2237 2510162 2510341 + 2510161
H37Rv ncRv2395 2692172 2692404 + 2692166
H37Rv ncRv0233 279379 279584 + 279387
H37Rv ncRv12497c 2812101 2812274 - 2812274
H37Rv ncRv0236c 286844 286901 - 286897
H37Rv ncRv10243B 293603 293663 + 293604
H37Rv ncRv2624 2950409 2950584 + 2950409
H37Rv ncRv12659 2980911 2981083 + 2980911
H37Rv ncRv12783c 3092761 3092889 - 3092885
H37Rv ncRv2840c 3148103 3148316 - 3148316
H37Rv ncRv2841 3148341 3148436 + 3148342
H37Rv ncRv12950c 3302595 3302692 - 3302692
H37Rv ncRv2986Ac 3343113 3343216 - 3343216
H37Rv ncRv2986c 3343123 3343226 - 3343216
H37Rv ncRv2993c 3350950 3351071 - 3351071
H37Rv ncRv13003c 3363019 3363152 - 3363152
H37Rv ncRv3009 3367227 3367347 + 3367227
H37Rv ncRv13053c 3415195 3415325 - 3415325
H37Rv ncRv3062 3425499 3425632 + 3425499
H37Rv ncRv3285 3666307 3666546 + 3666300
H37Rv ncRv0314 382877 382979 + 382887
H37Rv ncRv13418Ac 3837297 3837458 - 3837458
H37Rv ncRv13418Bc 3837346 3837458 - 3837458
H37Rv ncRv13660Bc 4099384 4099477 - 4099480
H37Rv ncRv13661A 4100683 4100987 + 4100680
H37Rv ncRv13661B 4101158 4101232 + 4101158
H37Rv ncRv13709B 4153620 4153691 + 4153620
H37Rv ncRv13709C 4153620 4153713 + 4153620
H37Rv ncRv13722c 4168192 4168281 - 4168281
H37Rv ncRv3804c 4265583 4265765 - 4265756
H37Rv ncRv13809c 4273549 4273615 - 4273615
H37Rv ncRv13843c 4316635 4316724 - 4316724
H37Rv ncRv0047c 51723 51779 - 51782
H37Rv ncRv10467 558818 558887 + 558824
H37Rv ncRv0490 579290 579378 + 579290
H37Rv ncRv0053 58117 58193 + 58117
H37Rv ncRv10609 704185 704247 + 704188
H37Rv ncRv10637 733361 733459 + 733362
H37Rv ncRv10666 759480 759610 + 759480
H37Rv ncRv10071 80239 80441 + 80240
H37Rv ncRv10071c 80254 80344 - 80341
H37Rv ncRv10710c 806180 806282 - 806281
H37Rv ncRv10713 811228 811296 + 811228
H37Rv ncRv0810c 905078 905167 - 905163
H37Rv ncRv0822c 916265 916424 - 916423
