type start end strand locus Name
ncRNA 80240 80440 + NA NA
ncRNA 80254 80344 - NA NA
ncRNA 156452 156567 + NA NA
ncRNA 156521 156568 - NA NA
ncRNA 177236 177285 - NA NA
ncRNA 209683 209841 + NA NA
ncRNA 218320 218379 - NA NA
ncRNA 293603 293663 + NA NA
ncRNA 293604 293705 + MTB000051 F6
ncRNA 530246 530353 - NA NA
ncRNA 558815 558884 + NA NA
ncRNA 575033 575069 + MTB000060 mcr19
ncRNA 579290 579408 + NA NA
ncRNA 704185 704246 + NA NA
ncRNA 704187 704247 + MTB000052 B55
ncRNA 733361 733459 + NA NA
ncRNA 734118 734244 + NA NA
ncRNA 736166 736284 + NA NA
ncRNA 759479 759610 + NA NA
ncRNA 786021 786074 + NA NA
ncRNA 800242 800359 + NA NA
ncRNA 815417 815685 + NA NA
ncRNA 905075 905164 - NA NA
ncRNA 918264 918458 + MTB000053 ASdes
ncRNA 958459 958509 + NA NA
ncRNA 1000719 1000826 + NA NA
ncRNA 1063969 1064101 + NA NA
ncRNA 1113606 1113664 + NA NA
ncRNA 1165548 1165613 - NA NA
ncRNA 1175225 1175315 + MTB000061 mpr5
ncRNA 1197082 1197179 + NA NA
ncRNA 1220388 1220487 - MTB000074 MTS0858
ncRNA 1271918 1271961 - NA NA
ncRNA 1275610 1275674 - NA NA
ncRNA 1283693 1283815 + MTB000072 mcr10
ncRNA 1313343 1313452 - NA NA
ncRNA 1340578 1340625 + MTB000075 ncrMT1234
ncRNA 1342888 1342941 + NA NA
ncRNA 1365274 1365365 + MTB000062 mpr6
ncRNA 1413094 1413224 - MTB000063 mcr11
ncRNA 1413105 1413227 - NA NA
ncRNA 1455386 1455461 + NA NA
ncRNA 1455406 1455461 + NA NA
ncRNA 1471619 1471742 + MTB000064 mcr3
ncRNA 1473385 1473503 + NA NA
ncRNA 1497132 1497220 + NA NA
ncRNA 1535417 1535716 - MTB000065 mcr15
ncRNA 1547129 1547268 + MTB000076 MTS1082
ncRNA 1564297 1564499 + NA NA
ncRNA 1692646 1692731 + NA NA
ncRNA 1816131 1816235 + NA NA
ncRNA 1821646 1821753 - NA NA
ncRNA 1914962 1915190 - MTB000054 G2
ncRNA 1952291 1952503 - MTB000055 AS1726
ncRNA 1960667 1960774 + NA NA
ncRNA 1960667 1960783 + MTB000077 MTS1338
ncRNA 2030986 2031038 + NA NA
ncRNA 2068863 2068962 + NA NA
ncRNA 2096766 2096867 + NA NA
ncRNA 2139419 2139656 + MTB000056 AS1890
ncRNA 2268164 2268231 + NA NA
ncRNA 2299745 2299886 + MTB000057 ASpks
ncRNA 2437823 2437866 - MTB000066 mcr5
ncRNA 2489205 2489252 + NA NA
ncRNA 2517032 2517134 - MTB000073 mcr16
ncRNA 2692172 2692521 + MTB000067 mcr7
ncRNA 2762409 2762484 + NA NA
ncRNA 2877751 2877808 + NA NA
ncRNA 2881252 2881320 + MTB000068 mpr11
ncRNA 2882185 2882276 + MTB000069 mpr12
ncRNA 2966410 2966450 + NA NA
ncRNA 3092761 3092886 - NA NA
ncRNA 3343113 3343216 - NA NA
ncRNA 3350950 3351074 - NA NA
ncRNA 3363029 3363152 - NA NA
ncRNA 3595951 3596059 + NA NA
ncRNA 3690941 3691059 + NA NA
ncRNA 3837297 3837458 - NA NA
ncRNA 3837346 3837458 - NA NA
ncRNA 3880231 3880294 - NA NA
ncRNA 3956291 3956550 + NA NA
ncRNA 4040879 4040938 + MTB000070 mpr17
ncRNA 4088267 4088350 - NA NA
ncRNA 4093468 4093522 + MTB000071 mpr18
ncRNA 4099384 4099477 - NA NA
ncRNA 4099386 4099478 - MTB000058 B11
ncRNA 4100669 4100968 + MTB000078 MTS2823
ncRNA 4168154 4168281 - MTB000059 C8
ncRNA 4168192 4168281 - NA NA
ncRNA 4265583 4265765 - NA NA
ncRNA 4314798 4314891 + MTB000079 ncrMT3949
ncRNA 4317073 4317165 + MTB000080 MTS2975
