seqnames sRNA_ID start end strand distance TSS tss_source citation
H37Rv ncRv0897A 1000569 1000826 + 738 1001308 Shell Gerrick2018
H37Rv ncRv0897B 1000719 1000829 + 588 1001308 Shell Gerrick2018Dejesus2017
H37Rv ncRv10932Ac 1041129 1041165 - 0 1041165 Shell Gerrick2018
H37Rv ncRv0952 1063969 1064101 + 1105 1065075 Cortes Gerrick2018
H37Rv ncRv10996 1113599 1113673 + 91 1113507 Cortes Gerrick2018
H37Rv ncRv1008 1127875 1127999 + 0 1127876 CortesShell Gerrick2018
H37Rv ncRv11008 1127949 1127999 + 5 1127955 Cortes Gerrick2018
H37Rv ncRv11013 1133262 1133316 + 195 1133458 Cortes Gerrick2018
H37Rv ncRv11042c 1165548 1165613 - 67 1165681 Shell Gerrick2018
H37Rv ncRv1065 1187351 1187589 + 0 1187351 CortesShell Gerrick2018
H37Rv ncRv1072A 1197046 1197179 + 35 1197082 Cortes Gerrick2018
H37Rv ncRv1072B 1197046 1197200 + 35 1197082 Cortes Gerrick2018
H37Rv ncRv1072C 1197082 1197184 + 0 1197082 Cortes Gerrick2018Dejesus2017
H37Rv ncRv11092c 1220388 1220486 - 0 1220487 CortesShell Gerrick2018
H37Rv ncRv1094 1222774 1222976 + 69 1222844 CortesShell Gerrick2018
H37Rv ncRv1095 1224272 1224347 + 112 1224385 CortesShell Gerrick2018
H37Rv ncRv11144Ac 1271918 1271961 - 112 1272074 Cortes Gerrick2018
H37Rv ncRv11144Bc 1271918 1272169 - 0 1272168 Cortes Gerrick2018
H37Rv ncRv11144c 1271923 1271966 - 107 1272074 Cortes Dejesus2017
H37Rv ncRv11147c 1275610 1275674 - 280 1275955 CortesShell Gerrick2018
H37Rv ncRv11160A 1287126 1287201 + 1 1287124 CortesShell Gerrick2018
H37Rv ncRv1171 1301253 1301327 + 26 1301226 CortesShell Gerrick2018
H37Rv ncRv11179c 1313344 1313452 - 0 1313451 CortesShell Gerrick2018
H37Rv ncRv1181 1315110 1315241 + 143 1315254 Cortes Gerrick2018
H37Rv ncRv11199 1342888 1342941 + 13 1342874 Cortes Gerrick2018
H37Rv ncRv1220c 1363447 1363506 - 144 1363361 CortesShell Gerrick2018
H37Rv ncRv11264c 1413105 1413227 - 1 1413225 Cortes Gerrick2018
